ProvinceOrTerritory,Population,PopulationUnder15,PopulationOver65,PercentOver65,Population2007,Pop2007Under15,Pop2007Over65
Newfoundland and Labrador,528817,22695,37452,7.1,509039,22989,22719
Prince Edward Island,152021,7468,9904,6.5,137721,6777,5982
Nova Scotia,953869,42806,62601,6.6,935071,42979,41658
New Brunswick,759655,34609,50742,6.7,745407,35034,32893
Quebec,8394034,440381,491813,5.9,7692736,385639,329596
Ontario,14193384,727539,752449,5.3,12764195,694875,484705
Manitoba,1338109,86184,65873,4.9,1189366,71231,43469
Saskatchewan,1163925,77120,55103,4.7,1002048,60611,37816
Alberta,4286134,277015,183075,4.3,3514031,219379,106952
British Columbia,4817160,227629,284122,5.9,4290988,210034,176952
Yukon,38459,2158,2050,5.3,32557,1794,919
Northwest Territories,44520,3041,1350,3,43374,3279,759
Nunavut,37996,4366,721,1.9,31395,3604,389
