Name,Code,1997,2007,2017
Argentina,ARG,136,106,96
Australia,AUS,1159,1913,2013
Austria,AUT,101,102,67
Belgium,BEL,138,175,116
Bangladesh,BGD,341,211,572
Bahrain,BHR,38,44,42
Bermuda,BMU,26,16,13
Brazil,BRA,544,395,335
Canada,CAN,1937,3881,3278
Switzerland,CHE,216,257,228
Chile,CHL,294,238,212
China,CHN,799,1530,3485
Colombia,COL,128,90,67
Costa Rica,CRI,23,12,10
Cyprus,CYP,40,124,74
Germany,DEU,700,761,450
"Egypt, Arab Rep.",EGY,654,435,252
Spain,ESP,1188,3498,3110
France,FRA,740,707,465
Greece,GRC,210,289,196
Croatia,HRV,77,359,155
Hungary,HUN,47,39,41
Ireland,IRL,83,60,41
"Iran, Islamic Rep.",IRN,250,329,326
Israel,ISR,657,643,431
Jordan,JOR,139,245,194
Japan,JPN,1805,2389,3598
Kazakhstan,KAZ,11,66,90
"Korea, Rep.",KOR,776,1755,2114
Lebanon,LBN,8,11,10
Sri Lanka,LKA,239,235,296
Luxembourg,LUX,56,34,28
Morocco,MAR,49,73,73
Mexico,MEX,194,125,141
Malta,MLT,6,16,23
Mauritius,MUS,30,67,74
Malaysia,MYS,700,983,894
Namibia,NAM,13,7,10
Nigeria,NGA,182,211,166
Netherlands,NLD,198,221,102
Norway,NOR,196,208,180
New Zealand,NZL,120,152,164
Oman,OMN,154,120,112
Panama,PAN,21,28,30
Peru,PER,245,188,218
Philippines,PHL,221,242,264
Poland,POL,143,352,861
Portugal,PRT,81,52,43
Romania,ROU,76,54,86
Russian Federation,RUS,43,592,230
Saudi Arabia,SAU,,111,188
Singapore,SGP,294,472,483
Slovenia,SVN,78,87,35
Thailand,THA,431,523,688
Tunisia,TUN,32,51,81
Turkey,TUR,258,259,374
United States,USA,7905,5109,4336
South Africa,ZAF,615,374,294
