Country,GDP($billions)
Afghanistan,19.5
Albania,11.9
Algeria,159.0
American Samoa,0.7
Andorra,2.9
Angola,95.3
Antigua and Barbuda,1.5
Argentina,545.5
Armenia,10.6
Australia,1204.6
Austria,390.8
Azerbaijan,37.8
"Bahamas, The",11.3
Bahrain,32.2
Bangladesh,221.4
Barbados,4.5
Belarus,47.4
Belgium,468.0
Belize,1.7
Benin,8.6
Bhutan,2.2
Bolivia,33.8
Bosnia and Herzegovina,16.9
Botswana,15.6
Brazil,1796.2
Brunei Darussalam,11.4
Bulgaria,53.2
Burkina Faso,11.7
Burundi,3.0
Cabo Verde,1.6
Cambodia,20.0
Cameroon,32.2
Canada,1529.8
Central African Republic,1.8
Chad,9.6
Chile,247.0
China,11199.1
"Hong Kong SAR, China",320.9
"Macao SAR, China",45.3
Colombia,282.5
Comoros,0.6
"Congo, Dem. Rep.",31.9
"Congo, Rep.",7.8
Costa Rica,57.4
Cote d'Ivoire,36.4
Croatia,50.7
Cuba,87.1
Cyprus,20.0
Czech Republic,195.3
Denmark,306.9
Djibouti,1.7
Dominica,0.6
Dominican Republic,71.6
Ecuador,98.6
"Egypt, Arab Rep.",332.8
El Salvador,26.8
Equatorial Guinea,10.7
Estonia,23.3
Ethiopia,72.4
Faroe Islands,2.5
Fiji,4.7
Finland,238.5
France,2465.5
Gabon,14.2
"Gambia, The",1.0
Georgia,14.4
Germany,3477.8
Ghana,42.7
Greece,192.7
Greenland,2.2
Grenada,1.1
Guam,5.8
Guatemala,68.8
Guinea,8.2
Guinea-Bissau,1.2
Guyana,3.5
Haiti,8.0
Honduras,21.5
Hungary,125.8
Iceland,20.0
India,2263.8
Indonesia,932.3
"Iran, Islamic Rep.",419.0
Iraq,171.5
Ireland,304.8
Isle of Man,6.8
Israel,317.7
Italy,1858.9
Jamaica,14.1
Japan,4940.2
Jordan,38.7
Kazakhstan,137.3
Kenya,70.5
Kiribati,0.2
"Korea, Rep.",1411.2
Kosovo,6.6
Kuwait,110.9
Kyrgyz Republic,6.6
Lao PDR,15.8
Latvia,27.6
Lebanon,49.6
Lesotho,2.3
Liberia,2.1
Liechtenstein,6.3
Lithuania,42.7
Luxembourg,58.6
"Macedonia, FYR",10.9
Madagascar,10.0
Malawi,5.4
Malaysia,296.5
Maldives,4.2
Mali,14.0
Malta,11.0
Marshall Islands,0.2
Mauritania,4.7
Mauritius,12.2
Mexico,1046.9
"Micronesia, Fed. Sts.",0.3
Moldova,6.7
Mongolia,11.2
Montenegro,4.4
Morocco,103.6
Mozambique,11.0
Myanmar,63.2
Namibia,10.9
Nepal,21.1
Netherlands,777.2
New Zealand,185.0
Nicaragua,13.2
Nigeria,404.7
Northern Mariana Islands,1.2
Norway,371.1
Oman,66.3
Pakistan,278.9
Palau,0.3
Panama,55.2
Papua New Guinea,20.2
Paraguay,27.4
Peru,192.2
Philippines,304.9
Poland,471.4
Portugal,204.8
Qatar,152.5
Romania,187.6
Russian Federation,1283.2
Rwanda,8.4
Samoa,0.8
San Marino,1.6
Sao Tome and Principe,0.3
Saudi Arabia,646.4
Senegal,14.7
Serbia,38.3
Seychelles,1.4
Sierra Leone,3.7
Singapore,297.0
Slovak Republic,89.8
Slovenia,44.7
Solomon Islands,1.2
Somalia,6.2
South Africa,295.5
South Sudan,9.0
Spain,1237.3
Sri Lanka,81.3
St. Kitts and Nevis,0.9
St. Lucia,1.7
St. Vincent and the Grenadines,0.8
Sudan,95.6
Suriname,3.3
Swaziland,3.7
Sweden,514.5
Switzerland,668.9
Tajikistan,7.0
Tanzania,47.3
Thailand,407.0
Timor-Leste,1.8
Togo,4.4
Tonga,0.4
Trinidad and Tobago,21.9
Tunisia,42.1
Turkey,863.7
Turkmenistan,36.2
Uganda,24.1
Ukraine,93.3
United Arab Emirates,348.7
United Kingdom,2647.9
United States,18624.5
Uruguay,52.4
Uzbekistan,67.2
Vanuatu,0.8
"Venezuela, RB",482.4
Vietnam,205.3
Virgin Islands (U.S.),3.8
West Bank and Gaza,13.4
"Yemen, Rep.",27.3
Zambia,21.1
Zimbabwe,16.6
