State,Percent,Total,65AndOver
Alabama,15.3,4841164,742394
Alaska,9.4,736855,69305
Arizona,15.9,6728577,1070151
Arkansas,15.7,2968472,464987
California,12.9,38654206,4976982
Colorado,12.7,5359295,678040
Connecticut,15.5,3588570,555023
Delaware,16.5,934695,153833
Florida,19.1,19934451,3797625
Georgia,12.3,10099320,1246295
Hawaii,16.1,1413673,227614
Idaho,14.3,1635483,233346
Illinois,13.9,12851684,1784097
Indiana,14.3,6589578,940323
Iowa,15.8,3106589,490781
Kansas,14.3,2898292,415527
Kentucky,14.8,4411989,653000
Louisiana,13.6,4645670,633725
Maine,18.2,1329923,242251
Maryland,13.8,5959902,820050
Massachusetts,15.1,6742143,1016679
Michigan,15.4,9909600,1527698
Minnesota,14.3,5450868,779405
Mississippi,14.3,2989192,426632
Missouri,15.3,6059651,929934
Montana,16.7,1023391,170868
Nebraska,14.4,1881259,271498
Nevada,14.1,2839172,400855
New Hampshire,15.8,1327503,210385
New Jersey,14.7,8915456,1312291
New Mexico,15.3,2082669,318286
New York,14.7,19697457,2893801
North Carolina,14.7,9940828,1459330
North Dakota,14.2,736162,104745
Ohio,15.5,11586941,1796337
Oklahoma,14.5,3875589,561885
Oregon,15.9,3982267,634574
Pennsylvania,16.7,12783977,2133247
Rhode Island,15.8,1054491,166517
South Carolina,15.8,4834605,761680
South Dakota,15.2,851058,129209
Tennessee,15.0,6548009,984449
Texas,11.5,26956435,3096567
Utah,10.0,2948427,295342
Vermont,17.0,626249,106193
Virginia,13.8,8310301,1144817
Washington,14.0,7073146,992842
West Virginia,17.8,1846092,328124
Wisconsin,15.2,5754798,875220
Wyoming,13.8,583029,80707
